fecha,milisegundos,Nombre_episodio,razon_comienzo,razon_fin,aleatorio,saltado,idnt_episodio,idnt_comienzo,idnt_fin
2023-01-17 06:24:49+00:00,17831,Chuva Suave para Dormir ,appload,endplay,False,True,6,1,2
2023-01-17 14:11:57+00:00,7167,Sueño Profundo y Reparación Con Antiestrés,clickrow,endplay,False,True,43,4,2
2023-01-17 14:12:03+00:00,4802,Musica para dormir rápido,clickrow,unexpected-exit-while-paused,False,False,5,4,5
2023-01-17 19:18:09+00:00,6846,Musica para dormir rápido,appload,endplay,False,True,5,1,2
2023-01-31 23:19:25+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2023-02-01 06:41:26+00:00,15694,MIX ACDC DJBM,appload,endplay,False,True,25,1,2
2023-02-13 00:20:40+00:00,3603775,The Best Sleep Music 5 Relaxing Tracks Guaranteed To Help You Get To Sleep,playbtn,logout,False,False,47,8,7
2023-02-13 06:47:39+00:00,9881,The Best Sleep Music 5 Relaxing Tracks Guaranteed To Help You Get To Sleep,appload,endplay,False,True,47,1,2
2023-02-18 08:30:25+00:00,269870,"Activa tu Cerebro con Ondas GAMMA Binaurales para estudiar, concentrarte y mejorar tu memoria 3 HorasASMR",clickrow,unexpected-exit-while-paused,False,False,44,4,5
2023-04-14 12:58:52+00:00,2887,No.027 - Sonidos para quitar miedo y ansiedad,clickrow,unknown,False,False,48,4,11
2023-04-14 13:12:33+00:00,796474,No.027 - Sonidos para quitar miedo y ansiedad,remote,logout,False,False,48,6,7
2023-04-15 01:45:35+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,endplay,False,True,21,4,2
2023-04-15 01:49:28+00:00,1087,MIX ACDC DJBM,backbtn,endplay,False,True,25,7,2
2023-04-15 02:19:29+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2023-05-07 22:21:10+00:00,2896484,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2023-05-08 05:43:40+00:00,14043,MIX ACDC DJBM,appload,endplay,False,True,25,1,2
2023-05-19 05:59:48+00:00,43319,Estudiemos Juntos 📚✨ 2 hs + 20' descanso,clickrow,endplay,False,True,49,4,2
2023-05-19 06:00:49+00:00,14204,study with me | 2 hour pomodoro session with breaks ˚* ੈ✩‧₊,clickrow,endplay,False,True,50,4,2
2023-05-19 06:01:38+00:00,9000,Estudiemos Juntos 📚✨ 2 hs + 20' descanso,clickrow,logout,False,False,49,4,7
2023-06-04 21:24:24+00:00,1742458,Sueño Profundo y Reparación Con Antiestrés,clickrow,endplay,False,True,43,4,2
2023-06-04 21:54:26+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
